ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,ADM3_REF,ADM3ALT1EN,Shape_Leng,Shape_Area,AREA_SQKM,Long,Lat
Abucay,PH0300801,Bataan,PH03008,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.42430128583,0.00645297271,76.88902406350,120.48722206,14.72164400
Bagac,PH0300802,Bataan,PH03008,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.77063942721,0.01585562062,189.03549767000,120.41468458,14.58928281
City of Balanga (Capital),PH0300803,Bataan,PH03008,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.55694752437,0.00751669484,89.58513846300,120.48625916,14.66769929
Dinalupihan,PH0300804,Bataan,PH03008,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.55102420545,0.00634165642,75.50977854040,120.42713713,14.87735475
Hermosa,PH0300805,Bataan,PH03008,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.78695023201,0.01250635253,148.95286941500,120.42690558,14.81725085
Limay,PH0300806,Bataan,PH03008,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.42411591178,0.00509014014,60.70008365720,120.56305700,14.53759012
Mariveles,PH0300807,Bataan,PH03008,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,1.02764847239,0.01629031932,194.31621969300,120.50666940,14.47486194
Morong,PH0300808,Bataan,PH03008,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.62416090863,0.01456839560,173.59919962700,120.32884503,14.70539681
Orani,PH0300809,Bataan,PH03008,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.61338367921,0.00450480925,53.65953608870,120.48572061,14.79048756
Orion,PH0300810,Bataan,PH03008,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.56384007904,0.00751869478,89.63981218680,120.53288040,14.59021872
Pilar,PH0300811,Bataan,PH03008,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.43888831084,0.00382153831,45.55326178570,120.51888353,14.63030778
Samal,PH0300812,Bataan,PH03008,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.47997509470,0.00398826658,47.51322861390,120.49009414,14.75978233
Angat,PH0301401,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.56357178291,0.00415053122,49.40828979840,121.03805091,14.94168399
Angat,PH0301401,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.56357178291,0.00415053122,49.40828979840,120.99874267,14.92653530
Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,Bigaa,0.29135678605,0.00180364236,21.48062701230,120.90906514,14.82834975
City of Baliwag,PH0301403,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.40483112621,0.00384459096,45.75989445970,120.88254919,14.96145659
Bocaue,PH0301404,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.30073175416,0.00221241989,26.35251148730,120.93257600,14.79871358
Bulacan,PH0301405,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.46954139279,0.00607221215,72.33712004760,120.87097104,14.76802915
Bustos,PH0301406,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.31363985411,0.00334885683,39.86503138360,120.92894549,14.93071970
Calumpit,PH0301407,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.32653694641,0.00393096664,46.80052200630,120.76400735,14.90237266
Guiguinto,PH0301408,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.25097906656,0.00187404704,22.31750386220,120.87951064,14.84439811
Hagonoy,PH0301409,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.54623276675,0.00700192410,83.39439845610,120.73436050,14.81659483
City of Malolos (Capital),PH0301410,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.61820514267,0.00594809659,70.83791751850,120.82410687,14.83280431
Marilao,PH0301411,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.40638181836,0.00237925115,28.34295874700,120.97128367,14.77285919
City of Meycauayan,PH0301412,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.47793785750,0.00266775111,31.78264801250,120.96793767,14.75238403
Norzagaray,PH0301413,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,1.18824427245,0.02497543572,297.38026156500,121.18198678,14.87806364
Norzagaray,PH0301413,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,1.18824427245,0.02497543572,297.38026156500,121.05131755,14.91645388
Obando,PH0301414,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.25282517820,0.00136022394,16.20758215810,120.92039105,14.71994601
