tidestatio,latitude,longitude,municipali,barangay,province,tideobserv,status,code,Long,Lat
CLAVERIA TIDE STATION,"18°36'45.5""N","121°03'01.1""E",Claveria,Taggat Norte,Cagayab,Charlene D. Guis-it,Operational,CC,121.05030352,18.61264548
GUIUMARAS TIDE STATION,"10°41'19.5""N","122°36'45.3""E",GUIMARAS,SANTO ROSARIO,GUIMARAS,RITCHEL DONGUILA,OPERATIONAL,BV,122.61258716,10.68872316
ROXAS TIDE STATION,"11°36'16.7""N","122°42'27.8""E",ROXAS,CULASI,CAPIZ,MARVIN RUSO,OPERATIONAL,RX,122.70769814,11.60460000
BALANACAN TIDE STATION,"13°32'03.4""N","121°51'54.7""E",MOGPOG,BALANACAN,MARINDUQUE,BOBBY G. MOLBOG,OPERATIONAL,BL,121.86518063,13.53426662
BALER  TIDE STATION,"15°45'25.8""N","121°35'20.7""E",BALER,ZABALI,AURORA,EMER R. VARGAS,OPERATIONAL,BR,121.58910917,15.75726481
BALINTANG  TIDE STATION,"9°20'52.4""N","118°07'29.4""E",BALINTANG,ISUGOD,PALAWAN,HENRY A. QUIÑONES,OPERATIONAL,BG,118.12483625,9.34789293
BATANGAS  TIDE STATION,"13°46'45.8""N","121°00'25.9""E",BATANGAS,APLAYA,BATANGAS,PERCIVAL M. SALAVARIA,OPERATIONAL,BT,121.00718817,13.77939657
TAWI-TAWI  TIDE STATION,"5°02'04.5""N","119°46'29.0""E",TAWI-TAWI,BONGAO (POB.),TAWI-TAWI,ABUBAKAR R. HASHIM,OPERATIONAL,BO,119.77472645,5.03457976
BROOKE'S PT.  TIDE STATION,"8°46'18.8""N","117°49'42.4""E",BROOKES POINT,POBLACION 1,PALAWAN,KATHIRINE PALAO,OPERATIONAL,BP,117.82844326,8.77189257
BULAN  TIDE STATION,"12°39'52.9""N","123°52'16.2""E",BULAN,ZONE II POB. (BGY. 2- WEST ILAWOD),SORSOGON,NOLINITO T. RAYMUNDO,OPERATIONAL,BN,123.87115344,12.66470445
CAGAYAN DE ORO  TIDE STATION,"8°30'02.2""N","124°39'51.4""E",CAGAYAN DE ORO,PUNTOD,MISAMIS ORIENTAL,ROBERTSON Q. ROÑO,OPERATIONAL,CD,124.66428175,8.50060588
CALAPAN  TIDE STATION,"13°25'34.6""N","121°11'37.8""E",CALAPAN,SAN ANTONIO,ORIENTAL MINDORO,DEXTER C. BOOL,OPERATIONAL,CL,121.19383021,13.42628025
CAMIGUIN  TIDE STATION,"9°14'37.2""N","124°44'15.0""E",CAMIGUIN,BALBAGON,CAMIGUIN,RUFINO M. CAGALITAN,OPERATIONAL,CG,124.73749600,9.24366677
CATBALOGAN  TIDE STATION,"11°46'31.0""N","124°52'43.1""E",CATBALOGAN,POBLACION 4,WESTERN SAMAR,DENNIS T. AGBON,OPERATIONAL,CT,124.87864901,11.77528794
CATICLAN  TIDE STATION,"11°56'21.1""N","121°57'16.6""E",CATICLAN,TABON,AKLAN,JOEL P. PRADO,OPERATIONAL,CN,121.95461016,11.93918277
CEBU  TIDE STATION,"10°17'35.0""N","123°54'29.0""E",CEBU,SAN ROQUE,CEBU,MELCHOR E. TOGONON,OPERATIONAL,CB,123.90803848,10.29304717
CORON  TIDE STATION,"11°59'25.0""N","120°12'44.4""E",CORON,TAGUMPAY,PALAWAN,NOLY L. FACTOR,OPERATIONAL,CO,120.21234025,11.99028096
LIMAY TIDE STATION,"14°30'51.4""N","120°36'41.3""E",LIMAY,LAMAO,BATAAN,JACQUELINE S. BALUYOT,OPERATIONAL,LM,120.61147929,14.51426331
DAVAO  TIDE STATION,"7°09'13.3""N","125°39'46.0""E",DAVAO,PANACAN,DAVAO DEL SUR,SETH T. GARROTE,OPERATIONAL,DV,125.66279000,7.15368500
GEN. SANTOS  TIDE STATION,"6°05'29.9""N","125°09'15.1""E",GENERAL SANTOS CITY,LABANGAL,SOUTH COTABATO,RICKY R. MAYORAL,OPERATIONAL,GS,125.15418330,6.09164444
GUIUAN  TIDE STATION,"11°02'35.6""N","125°42'46.2""E",GUIUAN,LUPOK,EASTERN SAMAR,VICTORINO AWA-AO JR.,OPERATIONAL,GU,125.71282490,11.04323263
LEGASPI  TIDE STATION,"13°08'41.0""N","123°45'23.8""E",LEGAZPI,BGY. 28 - VICTORY VILLAGE NORTH (POB.),ALBAY,JONATHAN R. ALEJO,OPERATIONAL,LG,123.75661596,13.14471900
LUBANG  TIDE STATION,"13°49'06.5""N","120°12'08.0""E",LUBANG,TILIK,OCCIDENTAL MINDORO,N/A,OPERATIONAL,LB,120.20222190,13.81846423
MAMBURAO  TIDE STATION,"13°13'38.6""N","120°34'03.1""E",MAMBURAO,TAYAMAAN,OCCIDENTAL MINDORO,MICHAEL  L. ALFARO,OPERATIONAL,MM,120.56752763,13.22737772
MARIVELES  TIDE STATION,"14°26'09.0""N","120°30'18.2""E",MARIVELES,BASECO COUNTRY (NASSCO),BATAAN,N/A,NOT OPERATIONAL,MV,120.50506123,14.43582888
ODIONGAN  TIDE STATION,"12°25'03.1""N","121°59'16.4""E",ODIONGAN,BATIANO,ROMBLON,RONALD PEREZ,OPERATIONAL,OD,121.98826199,12.41758445
PAGADIAN  TIDE STATION,"7°49'05.2""N","123°26'20.7""E",PAGADIAN,SANTIAGO (POB.),ZAMBOANGA DEL SUR,MARK RICSER A. SAGA,OPERATIONAL,PG,123.43907998,7.81810970
PULUPANDAN  TIDE STATION,"10°31'08.5""N","122°47'41.5""E",PULUPANDAN,BARANGAY ZONE 5 (POB.),NEGROS OCCIDENTAL,DEMETRIO O. YANSON III,OPERATIONAL,PD,122.79487338,10.51902539
REAL  TIDE STATION,"14°40'16.5""N","121°36'48.5""E",REAL,UNGOS,QUEZON,BALTAZAR N. AMILLER,OPERATIONAL,RL,121.61347099,14.67124128
